month,domestic_account,domestic_account_retail,domestic_account_institution,international_account,international_account_retail,international_account_institution
12/2025,11821745,11802531,19214,50188,45411,4777
11/2025,11542362,11523289,19073,49889,45124,4765
10/2025,11305254,11286327,18927,49619,44879,4740
09/2025,10994603,10975831,18772,49322,44598,4724
08/2025,10704845,10686178,18667,49054,44352,4702
07/2025,10447486,10428983,18503,48781,44103,4678
06/2025,10221333,10202994,18339,48593,43924,4669
05/2025,10022545,10004372,18173,48407,43738,4669
04/2025,9831867,9813738,18129,48233,43552,4681
03/2025,9637818,9619790,18028,48259,43604,4655
02/2025,9480629,9462789,17840,48068,43419,4649
01/2025,9330766,9312987,17779,47940,43293,4647
12/2024,9250208,9232471,17737,47780,43138,4642
11/2024,9109511,9091912,17599,47598,42976,4622
10/2024,8974216,8956724,17492,47436,42828,4608
09/2024,8817527,8800156,17371,47206,42626,4580
08/2024,8659225,8641944,17281,47004,42446,4558
07/2024,8328275,8311125,17150,46749,42184,4565
06/2024,7998293,7981289,17004,46532,41980,4552
05/2024,7891713,7874872,16841,46347,41812,4535
04/2024,7759703,7743033,16670,46137,41595,4542
03/2024,7648942,7632411,16531,45895,41343,4552
02/2024,7485321,7468887,16434,45677,41131,4546
01/2024,7372146,7355790,16356,45571,41014,4557
12/2023,7246977,7230742,16235,45384,40833,4551
11/2023,7207547,7191502,16045,45196,40662,4534
10/2023,7400592,7384707,15885,44952,40429,4523
09/2023,7778565,7762844,15721,44706,40200,4506
08/2023,7605870,7590239,15631,44431,39943,4488
07/2023,7417572,7402074,15498,44094,39634,4460
06/2023,7267165,7251723,15442,43882,39450,4432
05/2023,7121301,7105867,15434,43686,39276,4410
04/2023,7016556,7001243,15313,43465,39068,4397
03/2023,6993816,6978605,15211,43279,38897,4382
02/2023,6954264,6939177,15087,43029,38667,4362
01/2023,6890400,6875446,14954,42853,38516,4337
12/2022,6854360,6839633,14727,42711,38383,4328
11/2022,6755418,6740848,14570,42458,38158,4300
10/2022,6666939,6652514,14425,42242,37959,4283
09/2022,6570512,6556224,14288,42068,37797,4271
08/2022,6468268,6454080,14188,42099,37860,4239
07/2022,6315701,6301682,14019,41793,37593,4200
06/2022,6119911,6105973,13938,41385,37208,4177
05/2022,5653695,5639902,13793,41118,36940,4178
04/2022,5177240,5163570,13670,40862,36642,4220
03/2022,4946316,4932805,13511,40511,36313,4198
02/2022,4676099,4662794,13305,40092,35920,4172
01/2022,4465216,4452029,13187,39830,35676,4154
12/2021,4270701,4257724,12977,39510,35374,4136
11/2021,4044121,4031334,12787,39204,35076,4128
10/2021,3823304,3810732,12572,38707,34603,4104
09/2021,3693553,3681168,12385,38306,34232,4074
08/2021,3578743,3566455,12288,38154,34111,4043
07/2021,3458237,3446076,12161,37895,33869,4026
06/2021,3357021,3344998,12023,37618,33606,4012
05/2021,3216828,3204944,11884,37341,33326,4015
04/2021,3103154,3091401,11753,36908,32903,4005
03/2021,2993033,2981403,11630,36374,32391,3983
02/2021,2879693,2868212,11481,35839,31889,3950
01/2021,2822607,2811194,11413,35547,31594,3953
12/2020,2736338,2725087,11251,35071,31134,3937
11/2020,2673095,2662012,11083,34685,30763,3922
10/2020,2631892,2620932,10960,34391,30506,3885
09/2020,2595441,2584586,10855,34120,30249,3871
08/2020,2564023,2553246,10777,33829,30001,3828
07/2020,2535661,2524975,10686,33600,29783,3817
06/2020,2508492,2497903,10589,33395,29589,3806
05/2020,2473446,2462938,10508,33211,29416,3795
04/2020,2439409,2428985,10424,33024,29244,3780
