date,usd_buy_black_market,usd_sell_black_market,usd_buy_bank,usd_sell_bank,usd_deposit_bank,gap_black_market,gap_bank,difference_buy,difference_sell
09-07-2014,21260,21280,,,,20,,,
10-07-2014,21260,21280,,,,20,,,
11-07-2014,21230,21250,,,,20,,,
12-07-2014,21230,21250,,,,20,,,
13-07-2014,21230,21250,,,,20,,,
14-07-2014,21210,21230,,,,20,,,
15-07-2014,21210,21230,,,,20,,,
16-07-2014,21210,21240,,,,30,,,
17-07-2014,21210,21240,,,,30,,,
18-07-2014,21210,21230,,,,20,,,
19-07-2014,21210,21230,,,,20,,,
20-07-2014,21210,21230,,,,20,,,
21-07-2014,21220,21240,,,,20,,,
22-07-2014,21220,21240,,,,20,,,
23-07-2014,21210,21230,,,,20,,,
24-07-2014,21210,21230,,,,20,,,
25-07-2014,21210,21230,,,,20,,,
26-07-2014,21210,21230,,,,20,,,
27-07-2014,21210,21230,,,,20,,,
28-07-2014,21220,21240,,,,20,,,
29-07-2014,21210,21230,,,,20,,,
30-07-2014,21210,21230,,,,20,,,
31-07-2014,21230,21250,,,,20,,,
01-08-2014,21230,21250,,,,20,,,
02-08-2014,21230,21250,,,,20,,,
03-08-2014,21230,21250,,,,20,,,
04-08-2014,21230,21250,,,,20,,,
05-08-2014,21230,21250,,,,20,,,
06-08-2014,21220,21240,,,,20,,,
07-08-2014,21220,21240,,,,20,,,
08-08-2014,21200,21220,,,,20,,,
09-08-2014,21200,21220,,,,20,,,
10-08-2014,21200,21220,,,,20,,,
11-08-2014,21200,21220,,,,20,,,
12-08-2014,21190,21220,,,,30,,,
13-08-2014,21190,21220,,,,30,,,
14-08-2014,21190,21220,,,,30,,,
15-08-2014,21190,21220,,,,30,,,
16-08-2014,21190,21220,,,,30,,,
17-08-2014,21190,21220,,,,30,,,
18-08-2014,21190,21220,,,,30,,,
19-08-2014,21190,21220,,,,30,,,
20-08-2014,21190,21210,,,,20,,,
21-08-2014,21200,21220,,,,20,,,
22-08-2014,21200,21220,,,,20,,,
23-08-2014,21200,21220,,,,20,,,
24-08-2014,21200,21220,,,,20,,,
25-08-2014,21220,21240,,,,20,,,
26-08-2014,21220,21240,,,,20,,,
27-08-2014,21210,21230,21170,21220,21170,20,50,0.0018894662257911143,0.00047125353440158335
28-08-2014,21200,21220,21170,21220,21170,20,50,0.0014170996693434468,0.0
29-08-2014,21200,21220,21170,21220,21170,20,50,0.0014170996693434468,0.0
30-08-2014,21200,21220,21170,21220,21170,20,50,0.0014170996693434468,0.0
31-08-2014,21200,21220,21170,21220,21170,20,50,0.0014170996693434468,0.0
01-09-2014,21200,21220,21170,21220,21170,20,50,0.0014170996693434468,0.0
02-09-2014,21200,21220,21170,21220,21170,20,50,0.0014170996693434468,0.0
03-09-2014,21200,21220,21175,21225,21175,20,50,0.0011806375442739991,-0.00023557126030626652
04-09-2014,21200,21220,21170,21220,21170,20,50,0.0014170996693434468,0.0
05-09-2014,21205,21220,21170,21220,21170,15,50,0.0016532829475672806,0.0
06-09-2014,21205,21220,21170,21220,21170,15,50,0.0016532829475672806,0.0
07-09-2014,21205,21220,21170,21220,21170,15,50,0.0016532829475672806,0.0
08-09-2014,21190,21210,21175,21225,21175,20,50,0.0007083825265643551,-0.0007067137809186885
09-09-2014,21200,21220,21180,21230,21180,20,50,0.0009442870632672129,-0.00047103155911443206
10-09-2014,21200,21220,21180,21230,21180,20,50,0.0009442870632672129,-0.00047103155911443206
11-09-2014,21200,21220,21180,21230,21180,20,50,0.0009442870632672129,-0.00047103155911443206
12-09-2014,21200,21220,21180,21230,21180,20,50,0.0009442870632672129,-0.00047103155911443206
13-09-2014,21200,21220,21180,21230,21180,20,50,0.0009442870632672129,-0.00047103155911443206
14-09-2014,21200,21220,21180,21230,21180,20,50,0.0009442870632672129,-0.00047103155911443206
15-09-2014,21230,21250,21170,21220,21170,20,50,0.0028341993386868936,0.001413760603204528
