date,ticker,name,cash_buy,deposit_buy,sell
2020-02-01,USD,US DOLLAR,23135.00,23165.00,23305.00
2020-02-01,EUR,EURO,25092.31,25345.77,26238.80
2020-02-01,GBP,POUND STERLING,29969.49,30272.21,30602.78
2020-02-01,JPY,YEN,206.01,208.09,215.42
2020-02-01,AUD,AUSTRALIAN DOLLAR,15283.98,15438.36,15763.80
2020-02-01,SGD,SINGAPORE DOLLAR,16780.84,16950.34,17169.74
2020-02-01,THB,THAILAND BAHT,656.94,729.93,763.42
2020-02-01,CAD,CANADIAN DOLLAR,17235.63,17409.73,17776.74
2020-02-01,CHF,SWISS FRANC,23454.88,23691.80,24191.23
2020-02-01,HKD,HONGKONG DOLLAR,2939.87,2969.57,3014.03
2020-02-01,CNY,YUAN RENMINBI,3282.68,3315.84,3385.74
2020-02-01,DKK,DANISH KRONE,,3366.32,3492.73
2020-02-01,INR,INDIAN RUPEE,,324.18,336.90
2020-02-01,KRW,KOREAN WON,17.80,18.74,20.53
2020-02-01,KWD,KUWAITI DINAR,,76287.04,79280.24
2020-02-01,MYR,MALAYSIAN RINGGIT,,5624.85,5743.42
2020-02-01,NOK,NORWEGIAN KRONER,,2478.02,2581.39
2020-02-01,RUB,RUSSIAN RUBLE,,366.19,408.05
2020-02-01,SAR,SAUDI RIAL,,6179.67,6422.13
2020-02-01,SEK,SWEDISH KRONA,,2364.08,2452.85
2020-02-02,USD,US DOLLAR,23135.00,23165.00,23305.00
2020-02-02,EUR,EURO,25092.31,25345.77,26238.80
2020-02-02,GBP,POUND STERLING,29969.49,30272.21,30602.78
2020-02-02,JPY,YEN,206.01,208.09,215.42
2020-02-02,AUD,AUSTRALIAN DOLLAR,15283.98,15438.36,15763.80
2020-02-02,SGD,SINGAPORE DOLLAR,16780.84,16950.34,17169.74
2020-02-02,THB,THAILAND BAHT,656.94,729.93,763.42
2020-02-02,CAD,CANADIAN DOLLAR,17235.63,17409.73,17776.74
2020-02-02,CHF,SWISS FRANC,23454.88,23691.80,24191.23
2020-02-02,HKD,HONGKONG DOLLAR,2939.87,2969.57,3014.03
2020-02-02,CNY,YUAN RENMINBI,3282.68,3315.84,3385.74
2020-02-02,DKK,DANISH KRONE,,3366.32,3492.73
2020-02-02,INR,INDIAN RUPEE,,324.18,336.90
2020-02-02,KRW,KOREAN WON,17.80,18.74,20.53
2020-02-02,KWD,KUWAITI DINAR,,76287.04,79280.24
2020-02-02,MYR,MALAYSIAN RINGGIT,,5624.85,5743.42
2020-02-02,NOK,NORWEGIAN KRONER,,2478.02,2581.39
2020-02-02,RUB,RUSSIAN RUBLE,,366.19,408.05
2020-02-02,SAR,SAUDI RIAL,,6179.67,6422.13
2020-02-02,SEK,SWEDISH KRONA,,2364.08,2452.85
2020-02-03,USD,US DOLLAR,23170.00,23200.00,23340.00
2020-02-03,EUR,EURO,25268.33,25523.57,26428.51
2020-02-03,GBP,POUND STERLING,30189.20,30494.14,30833.72
2020-02-03,JPY,YEN,207.26,209.35,216.78
2020-02-03,AUD,AUSTRALIAN DOLLAR,15255.84,15409.94,15738.15
2020-02-03,SGD,SINGAPORE DOLLAR,16739.84,16908.93,17131.46
2020-02-03,THB,THAILAND BAHT,656.10,729.00,762.61
2020-02-03,CAD,CANADIAN DOLLAR,17217.50,17391.41,17761.82
2020-02-03,CHF,SWISS FRANC,23653.29,23892.21,24401.08
2020-02-03,HKD,HONGKONG DOLLAR,2944.13,2973.87,3019.03
2020-02-03,CNY,YUAN RENMINBI,3254.55,3287.42,3357.44
2020-02-03,DKK,DANISH KRONE,,3389.47,3517.50
2020-02-03,INR,INDIAN RUPEE,,324.57,337.38
2020-02-03,KRW,KOREAN WON,17.77,18.70,20.49
2020-02-03,KWD,KUWAITI DINAR,,76360.44,79373.47
2020-02-03,MYR,MALAYSIAN RINGGIT,,5607.43,5726.86
2020-02-03,NOK,NORWEGIAN KRONER,,2478.01,2581.93
2020-02-03,RUB,RUSSIAN RUBLE,,363.00,404.58
2020-02-03,SAR,SAUDI RIAL,,6187.48,6431.63
2020-02-03,SEK,SWEDISH KRONA,,2373.10,2462.75
2020-02-04,USD,US DOLLAR,23140.00,23170.00,23310.00
2020-02-04,EUR,EURO,25181.11,25435.46,26331.65
2020-02-04,GBP,POUND STERLING,29781.85,30082.68,30411.17
2020-02-04,JPY,YEN,206.37,208.45,215.79
2020-02-04,AUD,AUSTRALIAN DOLLAR,15299.91,15454.45,15780.24
2020-02-04,SGD,SINGAPORE DOLLAR,16670.71,16839.10,17057.06
2020-02-04,THB,THAILAND BAHT,660.97,734.41,768.11
2020-02-04,CAD,CANADIAN DOLLAR,17134.47,17307.55,17672.40
2020-02-04,CHF,SWISS FRANC,23537.32,23775.07,24276.25
2020-02-04,HKD,HONGKONG DOLLAR,2939.69,2969.38,3013.84
2020-02-04,CNY,YUAN RENMINBI,3254.53,3287.40,3356.70
2020-02-04,DKK,DANISH KRONE,,3378.58,3505.45
2020-02-04,INR,INDIAN RUPEE,,325.99,338.78
2020-02-04,KRW,KOREAN WON,17.88,18.82,20.62
2020-02-04,KWD,KUWAITI DINAR,,76211.81,79202.05
2020-02-04,MYR,MALAYSIAN RINGGIT,,5590.67,5708.52
2020-02-04,NOK,NORWEGIAN KRONER,,2463.47,2566.22
2020-02-04,RUB,RUSSIAN RUBLE,,364.90,406.61
2020-02-04,SAR,SAUDI RIAL,,6179.67,6422.13
2020-02-04,SEK,SWEDISH KRONA,,2369.53,2458.51
2020-02-05,USD,US DOLLAR,23130.00,23160.00,23300.00
2020-02-05,EUR,EURO,25100.27,25353.81,26247.15
2020-02-05,GBP,POUND STERLING,29753.93,30054.47,30382.68
2020-02-05,JPY,YEN,204.98,207.05,214.35
2020-02-05,AUD,AUSTRALIAN DOLLAR,15320.86,15475.62,15801.86
2020-02-05,SGD,SINGAPORE DOLLAR,16539.36,16706.42,16922.68
2020-02-05,THB,THAILAND BAHT,656.79,729.77,763.26
2020-02-05,CAD,CANADIAN DOLLAR,17117.14,17290.04,17654.54
2020-02-05,CHF,SWISS FRANC,23456.44,23693.37,24192.85
2020-02-05,HKD,HONGKONG DOLLAR,2937.76,2967.43,3011.86
2020-02-05,CNY,YUAN RENMINBI,3250.01,3282.84,3352.04
2020-02-05,DKK,DANISH KRONE,,3366.90,3493.33
2020-02-05,INR,INDIAN RUPEE,,325.79,338.57
2020-02-05,KRW,KOREAN WON,17.83,18.77,20.57
2020-02-05,KWD,KUWAITI DINAR,,76196.29,79185.98
2020-02-05,MYR,MALAYSIAN RINGGIT,,5579.07,5696.69
2020-02-05,NOK,NORWEGIAN KRONER,,2465.08,2567.91
2020-02-05,RUB,RUSSIAN RUBLE,,366.92,408.85
